DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
075 NAMUTUMBA,Busoga,139,"88,779",45747,1,"9,507","55,254","1,909","57,163",8,2,2011,2,1,0,0,1
076 OYAM,Lango,238,"127,457",41985,1,"27,611","69,596","2,809","72,405",8,2,2011,4,0,0,1,0
077 MARACHA,West Nile,125,"78,327",25072,1,"12,772","37,844","2,613","40,457",8,2,2011,4,0,0,1,0
078 BUDUDA,Bugisu,141,"64,063",30530,1,"8,098","38,628","1,463","40,091",8,2,2011,2,0,0,0,1
079 BUKEDEA,Teso,115,"66,311",28189,1,"13,622","41,811","2,945","44,756",8,1,2011,4,0,0,1,0
080 LYANTONDE,Buganda,78,"44,553",21694,1,"3,887","25,581","1,179","26,760",8,2,2011,2,1,0,0,1
081 AMUDAT,Karamoja,34,"21,039",6658,1,"3,474","10,132",230,"10,362",8,2,2011,4,0,0,1,0
082 BUIKWE,Buganda,328,"183,097",64752,1,"30,549","95,301","4,577","99,878",8,2,2011,4,1,0,1,0
083 BUYENDE,Busoga,171,"90,728",53761,1,"6,254","60,015","1,937","61,952",8,2,2011,1,1,0,0,1
084 KYEGEGWA,Toro,117,"76,921",47596,1,"4,779","52,375","1,522","53,897",8,2,2011,1,1,0,0,1
085 LAMWO,Acholi,121,"58,711",14735,1,"14,614","29,349","2,109","31,458",8,2,2011,5,0,1,0,0
086 OTUKE,Lango,57,"32,544",14566,1,"6,105","20,671",962,"21,633",8,2,2011,3,0,0,1,0
087 ZOMBO,West Nile,164,"83,907",34407,1,"13,578",47985,"3,178","51,163",8,2,2011,3,0,0,1,0
088 ALEBTONG,Lango,147,"81,486",24171,0,"25,590","49,761","2,641","52,402",8,2,2011,5,0,1,0,0
089 BULAMBULI,Bugisu,142,"60,436",33788,1,"8,046","41,834","1,294","43,128",8,1,2011,2,0,0,0,1
090 BUVUMA,Buganda,77,"26,037",7367,1,"3,270","10,637",443,"11,080",8,2,2011,3,1,0,1,0
091 GOMBA,Buganda,140,"63,840",29551,1,"8,450","38,001","2,057","40,058",8,2,2011,3,1,0,0,1
092 KIRYANDONGO,Bunyoro,151,"89,363",30829,1,"8,267","39,096","2,095","41,191",8,2,2011,3,1,0,0,1
093 KYANKWANZI,Buganda,147,"85,540",42276,1,"6,149","48,425","1,929","50,354",8,2,2011,2,1,0,0,1
094 LUUKA,Busoga,156,"87,410",39015,1,"8,904","47,919","1,907","49,826",8,2,2011,2,1,0,0,1
095 NAMAYINGO,Busoga,144,"77,199",36575,1,"10,112","46,687","2,046","48,733",8,2,2011,2,1,0,0,1
096 NTOROKO,Rwenzori,55,"30,884",13184,1,"2,268","15,452",796,"16,248",8,2,2011,2,1,0,0,1
097 SERERE,Teso,158,"94,168",24069,0,"34,929","58,998","3,812","62,810",8,2,2011,6,0,1,0,0
098 BUKOMANSIMBI,Buganda,118,"63,016",22389,1,"15,292","37,681","2,271","39,952",8,2,2011,4,1,0,1,0
099 BUTAMBALA,Buganda,86,"44,527",16880,1,"10,179","27,059",885,"27,944",8,2,2011,4,1,0,1,0
100 KALUNGU,Buganda,139,"75,671",28699,1,"17,116","45,815","1,871","47,686",8,2,2011,4,1,0,1,0
101 SHEEMA,Ankole,170,9490800,50497,1,"14,528",65025,"1,533","66,558",8,2,2011,2,0,0,0,1
102 KIBUKU,Bukedi,127,"68,369",38095,1,"9,822","47,917",862,"48,779",8,2,2011,2,0,0,0,1
103 KOLE,Lango,124,"76,617",29265,1,"17,950","47,215","1,970","49,185",8,2,2011,4,0,0,1,0
104 KWEEN,Sebei,93,"35,567",19318,1,"3,537","22,855","1,541","24,396",8,2,2011,2,0,0,0,1
105 LWENGO,Buganda,205,"120,771",53493,1,"20,352","73,845","2,924","76,769",8,2,2011,3,1,0,1,0
106 MITOOMA,Ankole,153,"79,220",39879,1,"13,586","53,465","1,982","55,447",8,2,2011,3,0,0,0,1
107 NAPAK,Karamoja,107,"41,809",18983,1,"1,380","20,363","2,177","22,540",8,2,2011,2,0,0,0,1
108 NGORA,Teso,85,"51,937",16116,0,"17,322","33,438","1,967","35,405",8,2,2011,5,0,1,0,0
109 BUHWEJU,Ankole,88,"41,785",29530,1,"2,885","32,415","1,358","33,773",8,2,2011,1,0,0,0,1
110 NWOYA,Acholi,65,"39,996",4563,0,"12,535","17,098",855,"17,953",8,2,2011,7,0,1,0,0
111 AGAGO,Acholi,165,"80,838",26632,1,"18,078","44,710","3,553","48,263",8,4,2011,4,0,0,1,0
112 RUBIRIZI,Ankole,100,"56,690",29901,1,"5,738","35,639","1,418","37,057",8,1,2011,2,0,0,0,1
001 APAC,Lango,258,152061,56371,1,43822,100193,"5,023",105216,8,2,2016,5,0,1,0,0
002 ARUA,West Nile,594,336384,114868,1,84181,199049,"20,736",219785,8,6,2016,5,0,1,0,0
003 BUNDIBUGYO,Rwenzori,210,98976,61553,1,10361,71914,"4,054",75968,8,2,2016,2,1,0,0,1
004 BUSHENYI,Ankole,212,124934,61837,1,28136,89973,"2,797",92770,8,2,2016,3,0,0,1,0
005 GULU,Acholi,332,184791,31391,0,64503,95894,"5,694",101588,8,7,2016,7,0,1,0,0
006 HOIMA,Bunyoro,412,228917,111133,1,38096,149229,"8,194",157423,8,6,2016,3,1,0,0,1
007 IGANGA,Busoga,380,222276,82281,1,55185,137466,"7,444",144910,8,3,2016,4,1,0,1,0
008 JINJA,Busoga,391,233848,66063,1,65002,131065,"5,861",136926,8,8,2016,5,1,1,0,0
009 KABALE,Kigezi,477,271884,132047,1,69631,201678,"5,465",207143,8,5,2016,4,0,0,1,0
010 KABAROLE,Toro,424,233385,122134,1,38340,160474,"7,687",168161,8,7,2016,3,1,0,0,1
011 KALANGALA,Buganda,81,29729,10161,1,8807,18968,"1,040",20008,8,1,2016,5,1,1,0,0
012 KAMPALA,Buganda,1323,1014294,157098,0,350929,508027,"14,112",522139,8,10,2016,7,1,1,0,0
013 KAMULI,Busoga,365,200257,84349,1,38764,123113,"6,498",129611,8,3,2016,3,1,0,1,0
014 KAPCHORWA,Sebei,124,48430,24761,1,12197,36958,"1,747",38705,8,4,2016,4,0,0,1,0
015 KASESE,Rwenzori,602,335162,97367,0,138060,235427,"9,293",244720,8,6,2016,6,1,1,0,0
016 KIBAALE,Bunyoro,573,322342,176339,1,40300,216639,"12,933",229572,8,2,2016,2,1,0,0,1
017 KIBOGA,Buganda,134,67012,33039,1,11100,44139,"2,163",46302,8,2,2016,3,1,0,0,1
018 KISORO,Kigezi,236,133857,86533,1,11120,97653,"2,804",100457,8,3,2016,1,0,0,0,1
019 KITGUM,Acholi,183,86477,21806,0,30317,52123,"4,799",56922,8,2,2016,6,0,1,0,0
020 KOTIDO,Karamoja,96,50179,29673,1,2817,32490,"3,397",35887,8,2,2016,2,0,0,0,1
021 KUMI,Teso,169,102223,36653,1,32243,68896,"4,118",73014,8,2,2016,5,0,1,0,0
022 LIRA,Lango,300,182731,46777,0,71704,118481,"6,006",124487,8,5,2016,6,0,1,0,0
023 LUWEERO,Buganda,382,201664,71382,1,56575,127957,"5,807",133764,8,3,2016,5,1,1,0,0
024 MASAKA,Buganda,244,139736,41998,0,49833,91831,"2,916",94747,8,5,2016,6,1,1,0,0
025 MASINDI,Bunyoro,248,134494,55106,1,24049,79155,"6,409",85564,8,3,2016,4,1,0,1,0
026 MBALE,Bugisu,426,220339,65543,0,73102,138645,"6,545",145190,8,8,2016,5,0,1,0,0
027 MBARARA,Ankole,437,242788,113697,1,46908,160605,"3,760",164365,8,7,2016,3,0,0,1,0
028 MOROTO,Karamoja,71,32229,20240,1,2424,22664,"2,206",24870,8,1,2016,2,0,0,0,1
029 MOYO,Madi,109,54521,20973,1,14691,35664,"2,810",38474,8,2,2016,5,0,1,0,0
030 MPIGI,Buganda,214,110907,41618,1,34048,75666,"3,210",78876,8,3,2016,5,1,1,0,0
031 MUBENDE,Buganda,591,281901,143801,1,42002,185803,"9,455",195258,8,3,2016,3,1,0,0,1
032 MUKONO,Buganda,538,292011,86328,0,88839,175167,"9,752",184919,8,5,2016,5,1,1,0,0
033 NEBBI,West Nile,317,173502,72505,1,37578,110083,"9,573",119656,8,3,2016,4,0,0,1,0
034 NTUNGAMO,Ankole,425,238337,112076,1,52843,164919,"6,540",171459,8,3,2016,3,0,0,1,0
035 PALLISA,Bukedi,278,154537,58560,1,49931,108491,"4,458",112949,8,2,2016,5,0,1,0,0
036 RAKAI,Buganda,381,223901,90593,1,55539,146132,"6,715",152847,8,2,2016,4,1,0,1,0
037 RUKUNGIRI,Kigezi,274,162019,56425,0,60413,116838,"4,215",121053,8,3,2016,5,0,1,0,0
038 SOROTI,Teso,211,125841,32917,0,53689,86606,"4,022",90628,8,5,2016,6,0,1,0,0
039 TORORO,Bukedi,411,233437,64882,0,91189,156071,"9,557",165628,8,5,2016,6,0,1,0,0
040 ADJUMANI,Madi,125,64487,26346,1,13512,39858,"4,337",44195,8,4,2016,4,0,0,1,0
041 BUGIRI,Busoga,325,163023,60765,1,38436,99201,"6,910",106111,8,2,2016,4,1,0,1,0
042 BUSIA,Bukedi,234,141798,51658,1,41798,93456,"4,358",97814,8,3,2016,5,0,1,0,0
043 KATAKWI,Teso,141,70547,32722,1,18821,51543,"3,266",54809,8,2,2016,4,0,0,1,0
044 NAKASONGOLA,Buganda,180,74723,45757,1,8421,54178,"2,445",56623,8,2,2016,2,1,0,0,1
045 SSEMBABULE,Buganda,219,112086,51749,1,21895,73644,"2,018",75662,8,2,2016,3,1,0,1,0
046 KAMWENGE,Toro,352,173159,103756,1,16800,120556,"3,021",123577,8,2,2016,2,1,0,0,1
047 KAYUNGA,Buganda,305,162880,56274,1,44067,100341,"5,250",105591,8,2,2016,5,1,1,0,0
048 KYENJOJO,Toro,337,186538,112470,1,19011,131481,"4,491",135972,8,2,2016,2,1,0,0,1
049 MAYUGE,Busoga,377,196170,71846,1,44105,115951,"6,639",122590,8,3,2016,4,1,0,1,0
050 PADER,Acholi,159,70121,17336,0,27274,44610,"1,752",46362,8,2,2016,6,0,1,0,0
051 SIRONKO,Bugisu,278,115357,40596,0,42209,82805,"3,538",86343,8,2,2016,5,0,1,0,0
052 WAKISO,Buganda,1359,900035,172129,0,296122,468251,"16,338",484589,8,2,2016,6,1,1,0,0
053 YUMBE,West Nile,202,95905,44837,1,20732,65569,"3,924",69493,8,9,2016,4,0,0,1,0
054 KABERAMAIDO,Teso,138,89521,34837,1,28092,62929,"2,820",65749,8,2,2016,5,0,1,0,0
055 KANUNGU,Kigezi,222,129072,53673,1,38949,92622,"3,010",95632,8,2,2016,4,0,0,1,0
056 NAKAPIRIPIRIT,Karamoja,90,46154,31915,1,1694,33609,"1,868",35477,8,2,2016,1,0,0,0,1
057 AMOLATAR,Lango,128,61127,24789,1,19968,44757,"2,020",46777,8,1,2016,5,0,1,0,0
058 AMURIA,Teso,209,107957,44373,1,35050,79423,"4,366",83789,8,2,2016,5,0,1,0,0
059 BUKWO,Sebei,84,36052,22169,1,5065,27234,"1,109",28343,8,2,2016,2,0,0,0,1
060 BUTALEJA,Bukedi,178,98706,38812,1,29894,68706,"3,382",72088,8,2,2016,5,0,1,0,0
061 IBANDA,Ankole,228,123221,74616,1,16456,91072,"2,922",93994,8,2,2016,2,0,0,0,1
062 ISINGIRO,Ankole,377,201963,102258,1,35964,138222,"3,366",141588,8,2,2016,3,0,0,0,1
063 KAABONG,Karamoja,152,50596,34703,1,3872,38575,"5,576",44151,8,2,2016,2,0,0,0,1
064 KALIRO,Busoga,179,93753,54733,1,12130,66863,"3,120",69983,8,2,2016,2,1,0,0,1
065 KIRUHURA,Ankole,323,155081,121286,1,11489,132775,"1,946",134721,8,2,2016,1,0,0,0,1
066 KOBOKO,West Nile,165,78394,30647,1,15872,46519,"4,154",50673,8,2,2016,4,0,0,1,0
067 MANAFWA,Bugisu,337,152973,64819,1,39120,103939,"5,124",109063,8,2,2016,4,0,0,1,0
068 MITYANA,Buganda,295,144847,64035,1,38758,102793,"4,750",107543,8,2,2016,4,1,0,1,0
069 NAKASEKE,Buganda,196,87358,47432,1,14811,62243,"2,314",64557,8,2,2016,3,1,0,0,1
070 ABIM,Karamoja,60,30494,17109,1,4265,21374,"1,134",22508,8,2,2016,2,0,0,0,1
071 AMURU,Acholi,112,73221,10673,0,23190,33863,"2,663",36526,8,2,2016,7,0,1,0,0
072 BUDAKA,Bukedi,153,86834,36297,1,23633,59930,"2,859",62789,8,2,2016,4,0,0,1,0
073 BULIISA,Bunyoro,84,38618,18983,1,8631,27614,"1,923",29537,8,2,2016,4,1,0,1,0
074 DOKOLO,Lango,149,79478,26707,1,25689,52396,"4,251",56647,8,2,2016,5,0,1,0,0
075 NAMUTUMBA,Busoga,173,103296,47498,1,20221,67719,"3,308",71027,8,2,2016,3,1,0,1,0
076 OYAM,Lango,282,156398,48020,1,46787,94807,"5,255",100062,8,2,2016,5,0,1,0,0
077 MARACHA,West Nile,154,90711,30631,1,19988,50619,"5,996",56615,8,2,2016,5,0,1,0,0
078 BUDUDA,Bugisu,148,64728,27000,1,17386,44386,"2,265",46651,8,2,2016,4,0,0,1,0
079 BUKEDEA,Teso,135,83448,33504,1,23655,57159,"2,843",60002,8,1,2016,4,0,0,1,0
080 LYANTONDE,Buganda,89,43966,24815,1,6469,31284,"1,087",32371,8,2,2016,2,1,0,0,1
081 AMUDAT,Karamoja,53,36203,25262,1,688,25950,177,26127,8,2,2016,0,0,0,0,1
082 BUIKWE,Buganda,379,199928,67705,1,55144,122849,"6,280",129129,8,2,2016,5,1,1,0,0
083 BUYENDE,Busoga,205,117618,62890,1,12794,75684,"5,073",80757,8,2,2016,2,1,0,0,1
084 KYEGEGWA,Toro,193,110312,65914,1,10496,76410,"2,757",79167,8,2,2016,2,1,0,0,1
085 LAMWO,Acholi,125,56871,14180,0,18855,33035,"2,519",35554,8,2,2016,6,0,1,0,0
086 OTUKE,Lango,79,41615,18507,1,10282,28789,0,28789,8,2,2016,4,0,0,1,0
087 ZOMBO,West Nile,191,101136,46404,1,15432,61836,"3,917",65753,8,2,2016,3,0,0,0,1
088 ALEBTONG,Lango,170,97699,31592,0,33118,64710,"3,426",68136,8,2,2016,5,0,1,0,0
089 BULAMBULI,Bugisu,153,61920,29796,1,14103,43899,"1,667",45566,8,1,2016,3,0,0,1,0
090 BUVUMA,Buganda,92,37522,12948,1,9596,22544,"1,726",24270,8,2,2016,5,1,1,0,0
091 GOMBA,Buganda,152,67479,35440,1,12298,47738,"1,758",49496,8,2,2016,3,1,0,0,1
092 KIRYANDONGO,Bunyoro,211,107720,43742,1,14570,58312,"5,661",63973,8,2,2016,3,1,0,1,0
093 KYANKWANZI,Buganda,200,91086,47897,1,12606,60503,"2,847",63350,8,2,2016,2,1,0,0,1
094 LUUKA,Busoga,179,96706,42511,1,17411,59922,"3,702",63624,8,2,2016,3,1,0,1,0
095 NAMAYINGO,Busoga,190,92607,32292,1,22856,55148,"3,929",59077,8,2,2016,5,1,0,0,0
096 NTOROKO,Rwenzori,69,32006,16661,1,4741,21402,629,22031,8,2,2016,2,1,0,0,1
097 SERERE,Teso,190,113143,40628,1,38463,79091,"4,174",83265,8,2,2016,5,0,1,0,0
098 BUKOMANSIMBI,Buganda,123,63513,23695,1,20866,44561,"2,034",46595,8,2,2016,5,1,1,0,0
099 BUTAMBALA,Buganda,99,44171,17019,1,15215,32234,"1,128",33362,8,2,2016,5,1,1,0,0
100 KALUNGU,Buganda,155,76578,28727,1,24025,52752,"2,124",54876,8,2,2016,5,1,1,0,0
101 SHEEMA,Ankole,201,111545,56894,1,24296,81190,"1,958",83148,8,2,2016,3,0,0,1,0
102 KIBUKU,Bukedi,167,79919,39433,1,17990,57423,"2,291",59714,8,2,2016,3,0,0,1,0
103 KOLE,Lango,171,102200,37441,1,30641,68082,"2,788",70870,8,2,2016,5,0,1,0,0
104 KWEEN,Sebei,102,40043,20915,1,8448,29363,"1,733",31096,8,2,2016,3,0,0,1,0
105 LWENGO,Buganda,251,121563,51196,1,31281,82477,"3,130",85607,8,2,2016,4,1,0,1,0
106 MITOOMA,Ankole,189,98981,47641,1,23248,70889,"1,889",72778,8,2,2016,3,0,0,1,0
107 NAPAK,Karamoja,111,43605,29148,1,1960,31108,"3,257",34365,8,2,2016,2,0,0,0,1
108 NGORA,Teso,102,62952,19444,0,23570,43014,"2,635",45649,8,2,2016,6,0,1,0,0
109 BUHWEJU,Ankole,124,57847,38229,1,6701,44930,"2,467",47397,8,2,2016,2,0,0,0,1
110 NWOYA,Acholi,101,46836,9922,0,13907,23829,"1,359",25188,8,2,2016,6,0,1,0,0
111 AGAGO,Acholi,177,85759,35501,1,23757,59258,"3,016",62274,8,4,2016,4,0,0,1,0
112 RUBIRIZI,Ankole,113,63006,34845,1,11013,45858,"1,735",47593,8,1,2016,3,0,0,0,1
APAC,Lango,179,88834,31908,1,20344,52252,"3,161",55413,11,3,2021,4,0,0,1,0
ARUA,West Nile,111,65738,23824,1,9980,33804,"2,263",36067,11,5,2021,3,0,0,1,0
BUNDIBUGYO,Rwenzori,297,113472,52408,1,19365,71773,"2,145",73918,11,3,2021,3,1,0,0,1
BUSHENYI,Ankole,258,140415,66572,1,18169,84741,"2,674",87415,11,4,2021,2,0,0,0,1
GULU,Acholi,92,45342,9997,1,9842,19839,"2,055",21894,11,7,2021,5,0,1,0,0
HOIMA,Bunyoro,173,90617,38431,1,14301,52732,"2,971",55703,11,4,2021,3,1,0,1,0
IGANGA,Busoga,323,186519,35660,0,58292,93952,"3,368",97320,11,4,2021,6,1,1,0,0
JINJA,Busoga,227,120278,23005,0,39356,62361,"3,115",65476,11,7,2021,6,1,1,0,0
KABALE,Kigezi,256,136559,75032,1,13745,88777,"2,247",91024,11,4,2021,2,0,0,0,1
KABAROLE,Toro,207,107428,50058,1,12165,62223,"3,256",65479,11,4,2021,2,1,0,0,1
KALANGALA,Buganda,90,35465,5275,0,13466,18741,"1,000",19741,11,3,2021,7,1,1,0,0
KAMPALA,Buganda,1400,1280409,128658,0,409322,537980,"12,624",550604,11,10,2021,8,1,1,0,0
KAMULI,Busoga,456,236917,57470,0,70361,127831,"5,899",133730,11,3,2021,6,1,1,0,0
KAPCHORWA,Sebei,143,56051,30590,1,8876,39466,"1,021",40487,11,3,2021,2,0,0,0,1
KASESE,Rwenzori,684,384058,109275,0,118047,227322,"6,682",234004,11,4,2021,5,1,1,0,0
KIBAALE,Bunyoro,156,68857,35804,1,6423,42227,"1,494",43721,11,3,2021,2,1,0,0,1
KIBOGA,Buganda,171,81434,24254,0,24323,48577,"2,052",50629,11,3,2021,5,1,1,0,0
KISORO,Kigezi,320,158552,98694,1,10338,109032,"2,982",112014,11,3,2021,1,0,0,0,1
KITGUM,Acholi,198,99234,26880,1,24100,50980,"4,459",55439,11,3,2021,5,0,1,0,0
KOTIDO,Karamoja,154,61086,32310,1,6532,38842,"4,846",43688,11,3,2021,3,0,0,0,1
KUMI,Teso,215,119112,38234,1,29153,67387,"3,336",70723,11,3,2021,5,0,1,0,0
LIRA,Lango,175,103180,36908,1,23696,60604,"2,882",63486,11,3,2021,4,0,0,1,0
LUWERO,Buganda,471,257115,41166,0,106149,147315,"4,649",151964,11,3,2021,7,1,1,0,0
MASAKA,Buganda,95,55626,11317,0,23644,34961,"1,187",36148,11,3,2021,7,1,1,0,0
MASINDI,Bunyoro,269,154805,55604,1,26573,82177,"4,364",86541,11,3,2021,4,1,0,1,0
MBALE,Bugisu,240,108400,37106,1,31595,68701,"2,603",71304,11,3,2021,5,0,1,0,0
MBARARA,Ankole,159,84209,49807,1,6829,56636,"1,419",58055,11,3,2021,1,0,0,0,1
MOROTO,Karamoja,99,38004,21342,1,3091,24433,"2,225",26658,11,3,2021,2,0,0,0,1
MOYO,West Nile,81,45367,18227,1,6265,24492,"1,542",26034,11,3,2021,3,0,0,0,1
MPIGI,Buganda,245,135726,22333,0,62053,84386,"2,558",86944,11,3,2021,7,1,1,0,0
MUBENDE,Buganda,383,196565,71834,1,42792,114626,"5,661",120287,11,3,2021,4,1,0,1,0
MUKONO,Buganda,619,355275,48062,0,138912,186974,"4,355",191329,11,3,2021,7,1,1,0,0
NEBBI,West Nile,241,130508,47285,1,21278,68563,"4,079",72642,11,3,2021,3,0,0,1,0
NTUNGAMO,Ankole,481,268541,161655,1,25194,186849,"3,921",190770,11,3,2021,2,0,0,0,1
PALLISA,Bukedi,277,131370,53788,1,29108,82896,"3,938",86834,11,3,2021,4,0,0,1,0
RAKAI,Buganda,226,135169,47288,1,34478,81766,"3,195",84961,11,3,2021,4,1,0,1,0
RUKUNGIRI,Kigezi,404,185118,77410,1,30975,108385,"4,058",112443,11,3,2021,3,0,0,1,0
SOROTI,Teso,173,92720,34590,1,27729,62319,"2,991",65310,11,3,2021,5,0,1,0,0
TORORO,Bukedi,481,268434,86248,1,68255,154503,"5,792",160295,11,3,2021,5,0,1,0,0
ADJUMANI,Madi,142,79364,35125,1,11296,46421,"2,540",48961,11,3,2021,3,0,0,0,1
BUGIRI,Busoga,371,193053,45980,0,53610,99590,"5,285",104875,11,3,2021,6,1,1,0,0
BUSIA,bukedi,284,163571,44679,0,51411,96090,"4,793",100883,11,3,2021,6,0,1,0,0
KATAKWI,Teso,193,83162,40777,1,15469,56246,0,56246,11,3,2021,3,0,0,0,1
NAKASONGOLA,Buganda,193,89647,35823,1,19133,54956,"2,416",57372,11,3,2021,4,1,0,1,0
SSEMBABULE,Buganda,286,132240,45234,1,34523,79757,"2,297",82054,11,3,2021,4,1,0,1,0
KAMWENGE,Toro,250,117466,85241,1,5421,90662,"1,087",91749,11,3,2021,1,1,0,0,1
KAYUNGA,Buganda,338,190977,35881,0,66622,102503,"4,507",107010,11,3,2021,7,1,1,0,0
KYENJOJO,Toro,459,215012,110869,1,18386,129255,"4,744",133999,11,3,2021,2,1,0,0,1
MAYUGE,Busoga,437,231116,50932,0,66695,117627,"4,487",122114,11,3,2021,6,1,1,0,0
PADER,Acholi,215,82298,28233,1,16155,44388,"3,244",47632,11,3,2021,4,0,0,1,0
SIRONKO,Bugisu,391,132465,43275,1,38616,81891,7,81898,11,3,2021,5,0,1,0,0
WAKISO,Buganda,1434,1154857,122505,0,438995,561500,"12,518",574018,11,8,2021,8,1,1,0,0
YUMBE,West Nile,335,113855,50686,1,20464,71150,"4,075",75225,11,3,2021,3,0,0,1,0
KABERAMAIDO,Teso,95,52210,18589,1,14233,32822,"1,456",34278,11,3,2021,5,0,1,0,0
KANUNGU,Kigezi,309,146064,72126,1,13565,85691,"2,604",88295,11,3,2021,2,0,0,0,1
NAKAPIRIPIRIT,Karamoja,78,32661,22029,1,1316,23345,"1,145",24490,11,3,2021,1,0,0,0,1
AMOLATAR,Lango,183,71173,38619,1,12657,51276,"1,908",53184,11,3,2021,3,0,0,0,1
AMURIA,Teso,215,88722,34666,1,21870,56536,"2,216",58752,11,3,2021,4,0,0,1,0
BUKWO,Sebei,140,44126,27888,1,4032,31920,975,32895,11,3,2021,2,0,0,0,1
BUTALEJA,Bukedi,204,110737,37856,1,31290,69146,"2,098",71244,11,3,2021,5,0,1,0,0
IBANDA,Ankole,208,140486,77521,1,11238,88759,"2,042",90801,11,3,2021,1,0,0,0,1
ISINGIRO,Ankole,509,233099,188609,1,12111,200720,"2,410",203130,11,3,2021,1,0,0,0,1
